fawn	dun.n.02	fawn.n.02	
biohazard_suit	biohazard_suit.n.01	
common_hops	common_hop.n.01	
chaetodon	chaetodon.n.01	
common_eel	common_eel.n.01	
whacking	beating.n.02	
Missouri_gourd	prairie_gourd.n.02	
Orangeman	orangeman.n.01	
fish_doctor	fish_doctor.n.01	
disconnection	disconnection.n.03	disjunction.n.01	gulf.n.02	
goggle-eye	bigeye_scad.n.01	
imaginativeness	imagination.n.01	
stanhopea	stanhopea.n.01	
Asiatic_sweetleaf	asiatic_sweetleaf.n.01	
De_Quincey	de_quincey.n.01	
graphic_tellurium	sylvanite.n.01	
bar_bit	bar_bit.n.01	
canoeist	canoeist.n.01	
ankylosaurus	ankylosaur.n.01	
South_African	south_african.n.01	
St._Benedict	benedict.n.02	
meningeal_artery	meningeal_artery.n.01	
Prinia	prinia.n.01	
Miles_Dewey_Davis_Jr.	davis.n.03	
plate_rail	plate_rail.n.01	
hautbois	oboe.n.01	
golem	automaton.n.02	golem.n.01	
diving_petrel	diving_petrel.n.01	
ideograph	ideogram.n.01	
coconut_cream	coconut_milk.n.01	
indiscretion	indiscretion.n.02	indiscretion.n.01	
Bos_indicus	brahman.n.04	
finger_paint	finger_paint.n.01	
memory_access	access.n.05	
dinginess	dinginess.n.01	
nightdress	nightgown.n.01	
penny_dreadful	dime_novel.n.01	
theatrical_season	theatrical_season.n.01	
New_People's_Army	new_people's_army.n.01	
drug_traffic	drug_traffic.n.01	
skunk_bear	wolverine.n.03	
cangue	cangue.n.01	
atomic_number_80	mercury.n.01	
occipital_lobe	occipital_lobe.n.01	
atomic_number_81	thallium.n.01	
nierembergia	cupflower.n.02	
estimate	estimate.n.01	estimate.n.02	estimate.n.05	appraisal.n.02	estimate.n.04	
welfare_worker	social_worker.n.01	
chlorine	chlorine.n.01	
erythema_nodosum	erythema_nodosum.n.01	
luggage_carrousel	carousel.n.01	
steadfastness	steadfastness.n.02	steadfastness.n.01	
bowling_pin	bowling_pin.n.01	
turn_indicator	blinker.n.02	
genus_Marattia	marattia.n.01	
jumbojet	jumbojet.n.01	
nucleole	nucleolus.n.01	
genus_Klebsiella	genus_klebsiella.n.01	
Lachesis	lachesis.n.01	
Cuzco	cuzco.n.01	
armguard	bracer.n.01	
phrasal_verb	phrasal_verb.n.01	
medical_examiner	coroner.n.01	
portmanteau	portmanteau.n.02	blend.n.02	
mendacity	mendacity.n.01	
Niger	niger.n.01	niger.n.02	
Canada_violet	canada_violet.n.01	
United_States_Congress	congress.n.01	
bloodguilt	bloodguilt.n.01	
rhabdovirus	rhabdovirus.n.01	
popularism	popularism.n.01	
mad_apple	eggplant.n.01	eggplant.n.02	
