72	feel light		가든하다
72	feel good		가든하다
72	light		가뜬하다
72	feel light		가뜬하다
72	feel good		가뜬하다
72	swagger		가들막거리다
72	strut about		가들막거리다
72	stalk about		가들막거리다
72	bear oneself haughtily		가들막거리다
72	act in a lordly manner		가들막거리다
72	put on airs		가들막거리다
72	provisional registration		가등기
72	full		가뜩
72	on top of everything else		가뜩
72	in addition to		가뜩이나
72	what is worse		가뜩이나
72	to make matters worse		가뜩이나
72	on top of		가뜩이나
72	an all-black horse		가라말
72	say		가라사대
72	as  says..		가라사대
72	sink		가라앉다
72	go down		가라앉다
72	settle down		가라앉다
72	go to the bottom		가라앉다
72	get calm		가라앉다
72	cool down		가라앉다
72	recover one's composure		가라앉다
72	become composed		가라앉다
72	become quiet		가라앉다
72	quiet down		가라앉다
72	go down		가라앉다
72	die down		가라앉다
72	subside		가라앉다
72	abate		가라앉다
72	settle		가라앉다
72	abate		가라앉다
72	go down		가라앉다
72	sink		가라앉히다
72	send to the bottom		가라앉히다
72	make  settle		가라앉히다
72	calm oneself		가라앉히다
72	keep cool		가라앉히다
72	gather one's wits		가라앉히다
72	calm		가라앉히다
72	quiet		가라앉히다
72	still		가라앉히다
72	cool off		가라앉히다
72	pacify		가라앉히다
72	settle		가라앉히다
72	allay		가라앉히다
72	alleviate		가라앉히다
72	lessen		가라앉히다
72	lighten		가라앉히다
72	mitigate		가라앉히다
72	relieve		가라앉히다
72	a key		가락
72	a pitch		가락
72	a tune		가락
72	a tone		가락
72	strain		가락
72	time		가락
72	rhythm		가락
72	pace		가락
72	tempo		가락
72	dexterity		가락
72	skill		가락
72	efficiency		가락
72	a spindle		가락
72	a stick		가락
72	a long slender object		가락
72	Korean noodle		가락국수
72	a set of twin rings		가락지
72	a  ring		가락지
72	a Buddhist temple		가람
72	ding		가랑가랑
72	clink		가랑가랑
72	tinkle		가랑가랑
72	그릇에 가랑가랑 담긴 물 the water filling the glass to the brim		가랑가랑
72	a glass brimful of water		가랑가랑
72	fine snow		가랑눈
72	a baby louse		가랑니
72	a nit		가랑니
72	hair braided in two plaits		가랑머리
72	a hairdo with two pigtails		가랑머리
72	a forked radish		가랑무
72	a drizzle		가랑비
72	a drizzling rain		가랑비
72	a fine rain		가랑비
72	a sprinkle		가랑비
72	a fork		가랑이
72	a crotch		가랑이
72	the crotch		가랑이
72	legs		가랑이
72	be forked		가랑이지다
72	dead leaves		가랑잎
72	an oak leaf		가랑잎
72	a shovel		가래
72	a spade		가래
72	phlegm		가래
72	sputum		가래
72	a wild walnut		가래
72	a piece		가래
72	a stick		가래
72	a strip of rice cake		가래
72	discriminate		가래다
72	distinguish		가래다
72	tell  from		가래다
72	a stick of rounded rice cake		가래떡
72	a stick of rounded taffy		가래엿
72	spadework		가래질
72	spading		가래질
72	shoveling		가래질
72	spit		가래침
72	spittle		가래침
72	the swelling of the lymphatic gland in the groin		가래톳
72	about		가량
72	almost		가량
72	some		가량
72	more or less		가량
72	something like		가량
72	or so		가량
72	estimate		가량
72	guess		가량
72	be thin but look healthy		가량가량하다
72	unbecoming		가량스럽다
72	unstylish		가량스럽다
72	be poor at guessing		가량없다
72	have poor judgment		가량없다
72	be wide of the mark		가량없다
72	be outrageous		가량없다
72	absurd		가량없다
72	immeasurable		가량없다
72	inestimable		가량없다
72	sort out		가려내다
72	classify		가려내다
72	pick out		가려내다
72	single out		가려내다
72	separate		가려내다
72	winnow		가려내다
72	be particular about food		가려먹다
72	choose		가려잡다
72	select		가려잡다
72	pick out		가려잡다
72	single  out		가려잡다
72	beautiful		가려하다
72	pretty		가려하다
72	lovely		가려하다
72	fine		가려하다
72	graceful		가려하다
72	elegant		가려하다
72	poor		가련하다
72	pitiful		가련하다
72	wretched		가련하다
72	miserable		가련하다
72	sad		가련하다
72	touching		가련하다
72	pathetic		가련하다
